team,player_key,display_position,starts
Castleford,amone,PR,15
Castleford,asi,FE,26
Castleford,atkin,HLF,10
Castleford,cini,RC,14
Castleford,dezaria,PR,2
Castleford,djeukessi,LW,1
Castleford,griffin,PR,1
Castleford,hill,HK,1
Castleford,hodson,L2R,1
Castleford,horne,HK,13
Castleford,hoy,FB,12
Castleford,kershaw,LW,2
Castleford,lawler,PR,12
Castleford,lindsey,RW,2
Castleford,mellor,R2R,23
Castleford,milnes,HLF,11
Castleford,mustapha,LK,2
Castleford,namo,PR,1
Castleford,okoro,PR,3
Castleford,qareqare,LW,1
Castleford,rimbu,HK,5
Castleford,robb,HK,5
Castleford,rooney,FB,7
Castleford,senior,LW,14
Castleford,simbiken,L2R,12
Castleford,simm,RW,19
Castleford,singleton,PR,14
Castleford,stimson,L2R,3
Castleford,tate,RW,3
Castleford,wallis,LW,6
Castleford,westerman,LK,12
Castleford,windley,FB,3
Castleford,wood,LC,14
Catalans,aispuro bichet,FB,17
Catalans,bousquet,PR,10
Catalans,cotric,LW,17
Catalans,da costa,HK,19
Catalans,darrelatour,LC,5
Catalans,dezaria,PR,2
Catalans,fages,HLF,16
Catalans,garcia,HK,7
Catalans,keary,FE,24
Catalans,laguerre,RC,17
Catalans,makinson,RW,20
Catalans,marc,RW,1
Catalans,maria,PR,6
Catalans,martin,RC,2
Catalans,mourgue,FB,3
Catalans,navarrete,PR,13
Catalans,pangai junior,PR,8
Catalans,partington,LK,24
Catalans,romano,RC,5
Catalans,rouge,HLF,8
Catalans,satae,PR,10
Catalans,seguier,R2R,5
Catalans,sims,L2R,8
Catalans,sironen,L2R,8
Catalans,smith,LC,15
Catalans,tison,FE,1
Catalans,tomkins,FB,5
Catalans,whitehead,R2R,9
Catalans,yaha,LW,6
Huddersfield,bibby,LC,8
Huddersfield,billington,L2R,1
Huddersfield,burgess,PR,9
Huddersfield,carr,RW,2
Huddersfield,clune,HLF,6
Huddersfield,cudjoe,LK,24
Huddersfield,english,PR,4
Huddersfield,evalds,FB,2
Huddersfield,flanagan jr,FB,16
Huddersfield,frawley,HLF,7
Huddersfield,gagai,RW,8
Huddersfield,golding,HK,6
Huddersfield,greenwood,R2R,14
Huddersfield,halsall,LW,10
Huddersfield,hewitt,L2R,5
Huddersfield,jagger,RW,1
Huddersfield,king,PR,4
Huddersfield,land,HLF,1
Huddersfield,lolohea,FE,13
Huddersfield,mcgowan,FB,2
Huddersfield,milne,LC,9
Huddersfield,murchie,L2R,4
Huddersfield,powell,PR,14
Huddersfield,richardson,HLF,1
Huddersfield,rogers,PR,9
Huddersfield,rush,FE,10
Huddersfield,rushton,L2R,10
Huddersfield,russell,HLF,4
Huddersfield,sutcliffe,LC,2
Huddersfield,swift,RW,11
Huddersfield,wallis,LW,2
Huddersfield,wilson,PR,10
Huddersfield,woolford,HK,21
Hull FC,ashworth,R2R,2
Hull FC,asiata,LK,14
Hull FC,aydin,LK,10
Hull FC,balmforth,HK,2
Hull FC,barron,RW,21
Hull FC,bourouh,HK,23
Hull FC,briscoe,RC,11
Hull FC,cartwright,L2R,9
Hull FC,chamberlain,R2R,12
Hull FC,charles,FE,2
Hull FC,cust,FE,18
Hull FC,eseese,PR,24
Hull FC,fash,LK,3
Hull FC,gardiner,PR,1
Hull FC,hardaker,L2R,12
Hull FC,kemp,FE,2
Hull FC,knight,PR,16
Hull FC,lane,R2R,11
