season,rank,player,player_key,team,team_method,games,tries,try_assists,tackles,missed_tackles,minutes,tackle_busts,attacking_kicks,carries,metres,average_gain,clean_breaks,drop_outs,drop_goals,errors,forty_twenty,goals,missed_goals,offloads,penalties,red_cards,yellow_cards,source_url,updated_utc
2026,1,M. Sivo,sivo,,official snapshot; team matching pending,0,28,0,22,0,2,67,6,216,1738,8.05,29,3,0,17,0,0,0,8,5,0,1,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,2,J. Charnley,charnley,,official snapshot; team matching pending,0,20,0,88,13,7,32,2,221,1583,7.16,18,1,0,10,0,0,0,0,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,3,B. Croft,croft,,official snapshot; team matching pending,0,17,8,295,50,18,34,46,196,1108,5.65,12,6,0,8,0,0,0,7,8,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,4,M. Lewis,lewis,,official snapshot; team matching pending,0,16,14,247,31,79,66,80,227,1430,6.3,16,8,0,17,0,18,6,6,12,0,2,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,5,Z. Eckersley,eckersley,,official snapshot; team matching pending,0,15,5,83,9,11,40,1,225,1670,7.42,17,2,0,22,0,0,0,7,3,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,6,J. Qareqare,qareqare,,official snapshot; team matching pending,0,14,1,60,6,26,40,1,241,1990,8.26,22,8,0,14,0,0,0,2,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,7,O. Pratt,pratt,,official snapshot; team matching pending,0,14,3,93,10,10,29,0,171,1244,7.27,14,4,0,12,0,0,0,9,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,8,J. Burgess,burgess,,official snapshot; team matching pending,0,13,2,62,8,15,23,1,152,1137,7.48,14,7,0,24,0,0,0,6,2,0,1,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,9,N. Hodkinson,hodkinson,,official snapshot; team matching pending,0,13,3,34,6,5,25,0,100,716,7.16,14,1,0,8,0,1,0,4,0,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,10,J. Field,field,,official snapshot; team matching pending,0,12,9,48,9,14,67,7,218,1802,8.27,14,4,0,20,0,0,0,4,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,11,T. Johnstone,johnstone,,official snapshot; team matching pending,0,12,0,29,2,8,40,1,150,1359,9.06,17,3,0,12,0,0,0,5,0,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,12,O. Ashall-Bott,ashall-bott,,official snapshot; team matching pending,0,11,7,64,2,24,108,5,246,1919,7.8,13,11,0,18,0,0,0,16,7,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,13,M. Jussaume,jussaume,,official snapshot; team matching pending,0,10,2,481,132,47,55,2,159,1079,6.79,11,6,0,8,0,0,0,8,4,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,14,E. Ryan,ryan,,official snapshot; team matching pending,0,10,3,77,14,9,30,2,227,1822,8.03,13,7,0,26,0,0,0,9,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,15,D. Nofoaluma,nofoaluma,,official snapshot; team matching pending,0,10,1,52,1,10,92,3,271,2142,7.9,9,18,0,9,0,0,0,29,5,0,1,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,16,S. Galeano,galeano,,official snapshot; team matching pending,0,9,4,94,16,13,37,2,220,1693,7.7,7,4,0,22,0,0,0,3,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,17,T. Davies,davies,,official snapshot; team matching pending,0,9,1,56,5,13,37,0,328,2591,7.9,9,1,0,9,0,0,0,0,2,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,18,J. Gagai,gagai,,official snapshot; team matching pending,0,9,2,199,23,41,90,3,235,1733,7.37,10,2,0,17,0,0,0,4,3,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,19,A. Keighran,keighran,,official snapshot; team matching pending,0,9,10,189,25,58,36,9,137,1101,8.04,9,1,0,22,0,66,24,11,12,0,2,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
2026,20,A. Hopoate,hopoate,,official snapshot; team matching pending,0,9,2,197,45,19,73,1,295,2120,7.19,6,2,0,15,0,0,0,5,3,0,0,https://www.superleague.co.uk/stats/player-stats,2026-07-10T00:00:00+00:00
