season,scope,team,team_short,matches,position,tries_scored,tries_conceded,differential
2025,Regular season,Castleford,Castleford,27,LW,12,23,-11
2025,Regular season,Castleford,Castleford,27,LC,4,11,-7
2025,Regular season,Castleford,Castleford,27,L2R,4,5,-1
2025,Regular season,Castleford,Castleford,27,FE,6,8,-2
2025,Regular season,Castleford,Castleford,27,HLF,3,8,-5
2025,Regular season,Castleford,Castleford,27,R2R,4,5,-1
2025,Regular season,Castleford,Castleford,27,RC,5,16,-11
2025,Regular season,Castleford,Castleford,27,RW,13,27,-14
2025,Regular season,Castleford,Castleford,27,FB,9,17,-8
2025,Regular season,Castleford,Castleford,27,PR,3,15,-12
2025,Regular season,Castleford,Castleford,27,HK,5,8,-3
2025,Regular season,Castleford,Castleford,27,LK,3,4,-1
2025,Regular season,Catalans,Catalans,27,LW,2,17,-15
2025,Regular season,Catalans,Catalans,27,LC,11,12,-1
2025,Regular season,Catalans,Catalans,27,L2R,2,7,-5
2025,Regular season,Catalans,Catalans,27,FE,5,19,-14
2025,Regular season,Catalans,Catalans,27,HLF,0,3,-3
2025,Regular season,Catalans,Catalans,27,R2R,3,7,-4
2025,Regular season,Catalans,Catalans,27,RC,5,6,-1
2025,Regular season,Catalans,Catalans,27,RW,12,17,-5
2025,Regular season,Catalans,Catalans,27,FB,11,12,-1
2025,Regular season,Catalans,Catalans,27,PR,11,6,5
2025,Regular season,Catalans,Catalans,27,HK,10,7,3
2025,Regular season,Catalans,Catalans,27,LK,0,0,0
2025,Regular season,Huddersfield,Huddersfield,27,LW,7,19,-12
2025,Regular season,Huddersfield,Huddersfield,27,LC,4,10,-6
2025,Regular season,Huddersfield,Huddersfield,27,L2R,0,8,-8
2025,Regular season,Huddersfield,Huddersfield,27,FE,9,13,-4
2025,Regular season,Huddersfield,Huddersfield,27,HLF,1,6,-5
2025,Regular season,Huddersfield,Huddersfield,27,R2R,6,10,-4
2025,Regular season,Huddersfield,Huddersfield,27,RC,3,8,-5
2025,Regular season,Huddersfield,Huddersfield,27,RW,12,16,-4
2025,Regular season,Huddersfield,Huddersfield,27,FB,10,17,-7
2025,Regular season,Huddersfield,Huddersfield,27,PR,5,11,-6
2025,Regular season,Huddersfield,Huddersfield,27,HK,1,7,-6
2025,Regular season,Huddersfield,Huddersfield,27,LK,2,4,-2
2025,Regular season,Hull FC,Hull FC,27,LW,24,8,16
2025,Regular season,Hull FC,Hull FC,27,LC,9,6,3
2025,Regular season,Hull FC,Hull FC,27,L2R,7,5,2
2025,Regular season,Hull FC,Hull FC,27,FE,4,9,-5
2025,Regular season,Hull FC,Hull FC,27,HLF,6,4,2
2025,Regular season,Hull FC,Hull FC,27,R2R,5,4,1
2025,Regular season,Hull FC,Hull FC,27,RC,6,6,0
2025,Regular season,Hull FC,Hull FC,27,RW,19,14,5
2025,Regular season,Hull FC,Hull FC,27,FB,4,13,-9
2025,Regular season,Hull FC,Hull FC,27,PR,11,6,5
2025,Regular season,Hull FC,Hull FC,27,HK,2,5,-3
2025,Regular season,Hull FC,Hull FC,27,LK,0,3,-3
2025,Regular season,Hull KR,Hull KR,27,LW,27,8,19
2025,Regular season,Hull KR,Hull KR,27,LC,16,4,12
2025,Regular season,Hull KR,Hull KR,27,L2R,6,2,4
2025,Regular season,Hull KR,Hull KR,27,FE,19,3,16
2025,Regular season,Hull KR,Hull KR,27,HLF,7,5,2
2025,Regular season,Hull KR,Hull KR,27,R2R,11,5,6
2025,Regular season,Hull KR,Hull KR,27,RC,10,6,4
2025,Regular season,Hull KR,Hull KR,27,RW,17,8,9
2025,Regular season,Hull KR,Hull KR,27,FB,8,6,2
2025,Regular season,Hull KR,Hull KR,27,PR,10,4,6
2025,Regular season,Hull KR,Hull KR,27,HK,8,0,8
2025,Regular season,Hull KR,Hull KR,27,LK,1,0,1
2025,Regular season,Leeds,Leeds,27,LW,11,11,0
2025,Regular season,Leeds,Leeds,27,LC,5,5,0
2025,Regular season,Leeds,Leeds,27,L2R,10,1,9
2025,Regular season,Leeds,Leeds,27,FE,9,7,2
2025,Regular season,Leeds,Leeds,27,HLF,6,1,5
2025,Regular season,Leeds,Leeds,27,R2R,8,4,4
2025,Regular season,Leeds,Leeds,27,RC,12,4,8
2025,Regular season,Leeds,Leeds,27,RW,12,9,3
2025,Regular season,Leeds,Leeds,27,FB,11,7,4
2025,Regular season,Leeds,Leeds,27,PR,14,3,11
2025,Regular season,Leeds,Leeds,27,HK,1,1,0
2025,Regular season,Leeds,Leeds,27,LK,6,2,4
2025,Regular season,Leigh,Leigh,27,LW,14,8,6
2025,Regular season,Leigh,Leigh,27,LC,12,5,7
2025,Regular season,Leigh,Leigh,27,L2R,10,5,5
2025,Regular season,Leigh,Leigh,27,FE,4,5,-1
2025,Regular season,Leigh,Leigh,27,HLF,4,3,1
2025,Regular season,Leigh,Leigh,27,R2R,7,3,4
2025,Regular season,Leigh,Leigh,27,RC,9,10,-1
2025,Regular season,Leigh,Leigh,27,RW,16,13,3
2025,Regular season,Leigh,Leigh,27,FB,10,7,3
2025,Regular season,Leigh,Leigh,27,PR,10,11,-1
2025,Regular season,Leigh,Leigh,27,HK,13,3,10
2025,Regular season,Leigh,Leigh,27,LK,2,3,-1
2025,Regular season,Salford,Salford,27,LW,3,24,-21
2025,Regular season,Salford,Salford,27,LC,3,14,-11
2025,Regular season,Salford,Salford,27,L2R,2,13,-11
2025,Regular season,Salford,Salford,27,FE,1,15,-14
2025,Regular season,Salford,Salford,27,HLF,3,3,0
2025,Regular season,Salford,Salford,27,R2R,4,11,-7
2025,Regular season,Salford,Salford,27,RC,6,19,-13
2025,Regular season,Salford,Salford,27,RW,5,32,-27
2025,Regular season,Salford,Salford,27,FB,4,19,-15
2025,Regular season,Salford,Salford,27,PR,6,19,-13
2025,Regular season,Salford,Salford,27,HK,2,17,-15
2025,Regular season,Salford,Salford,27,LK,1,8,-7
2025,Regular season,St Helens,St Helens,27,LW,17,9,8
2025,Regular season,St Helens,St Helens,27,LC,9,10,-1
2025,Regular season,St Helens,St Helens,27,L2R,5,1,4
2025,Regular season,St Helens,St Helens,27,FE,10,4,6
2025,Regular season,St Helens,St Helens,27,HLF,3,1,2
