match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025002,2025,Round 1,1,2025-02-14,False,Hull FC,Catalans,,C. Cust,cust,,FE,FE,2,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Catalans
2025002,2025,Round 1,1,2025-02-14,False,Hull FC,Catalans,,T. Briscoe,briscoe,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Catalans
2025002,2025,Round 1,1,2025-02-14,False,Hull FC,Catalans,,J. Lane,lane,,R2R,R2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Catalans
2025002,2025,Round 1,1,2025-02-14,False,Catalans,Hull FC,,A. Mourgue,mourgue,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Hull FC
2025003,2025,Round 1,1,2025-02-14,False,Hull KR,Castleford,,J. Burgess,burgess,,LW,LW,3,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Castleford
2025003,2025,Round 1,1,2025-02-14,False,Hull KR,Castleford,,P. Hiku,hiku,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Castleford
2025003,2025,Round 1,1,2025-02-14,False,Castleford,Hull KR,,Z. Cini,cini,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Hull KR
2025003,2025,Round 1,1,2025-02-14,False,Castleford,Hull KR,,F. Rooney,rooney,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Hull KR
2025003,2025,Round 1,1,2025-02-14,False,Castleford,Hull KR,,J. Simm,simm,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Hull KR
2025004,2025,Round 1,1,2025-02-15,False,St Helens,Salford,,T. Sailor,sailor,,FE,FE,4,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Salford
